##['TANGGAL', 'JAM', 'SEQUENCE', 'EMITEN', 'OPEN_PRICE', 'HIGH_PRICE', 'LOW_PRICE', 'CLOSE_PRICE', 'VOLUME', 'VALUE', 'FREQUENCY']
['20200226', '030042', '00002459', 'UNIT', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002460', 'UNSP', '00000000100.00', '00000000100.00', '00000000100.00', '00000000100.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002461', 'UNTR', '00000022900.00', '00000022900.00', '00000022900.00', '00000022900.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002462', 'UNVR', '00000044600.00', '00000044600.00', '00000044600.00', '00000044600.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002463', 'VICO', '00000000316.00', '00000000316.00', '00000000316.00', '00000000316.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002464', 'VINS', '00000000218.00', '00000000218.00', '00000000218.00', '00000000218.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002465', 'VINS-W', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002466', 'VIVA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002467', 'VOKS', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002468', 'VRNA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002469', 'WAPO', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002470', 'WEHA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002471', 'WICO', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002472', 'WIIM', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002473', 'WIKA', '00000002000.00', '00000002000.00', '00000002000.00', '00000002000.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002474', 'WINS', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002475', 'WOMF', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002476', 'WOOD', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002477', 'WSBP', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002478', 'WSKT', '00000001860.00', '00000001860.00', '00000001860.00', '00000001860.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002479', 'WTON', '00000000498.00', '00000000498.00', '00000000498.00', '00000000498.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002480', 'XCID', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002481', 'XIIC', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002482', 'XIIF', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002483', 'XIIT', '00000000539.00', '00000000539.00', '00000000539.00', '00000000539.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002484', 'XIJI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002485', 'XISB', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002486', 'XISC', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002487', 'XISI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002488', 'XISR', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002489', 'XPDV', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002490', 'XPLC', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002491', 'XPLQ', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002492', 'XPTD', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002493', 'YPAS', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002494', 'YULE', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002495', 'ZBRA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '085501', '00004049', 'AALI', '00000018200.00', '00000018200.00', '00000018200.00', '00000018200.00', '000000000000', '0000000000000000', '0000000']
['20200226', '085501', '00004050', 'ADHI', '00000001700.00', '00000001700.00', '00000001700.00', '00000001700.00', '000000000000', '0000000000000000', '0000000']
['20200226', '085501', '00004051', 'AKRA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '085501', '00004052', 'ANTM', '00000000900.00', '00000000900.00', '00000000900.00', '00000000900.00', '000000000000', '0000000000000000', '0000000']
['20200226', '085501', '00004053', 'ASII', '00000007000.00', '00000007000.00', '00000007000.00', '00000007000.00', '000000000000', '0000000000000000', '0000000']
['20200226', '085501', '00004054', 'ASRI', '00000000320.00', '00000000320.00', '00000000320.00', '00000000320.00', '000000000000', '0000000000000000', '0000000']
['20200226', '085501', '00004055', 'BBCA', '00000054500.00', '00000054500.00', '00000054500.00', '00000054500.00', '000000000000', '0000000000000000', '0000000']
['20200226', '085501', '00004056', 'BBNI', '00000015725.00', '00000015725.00', '00000015725.00', '00000015725.00', '000000000000', '0000000000000000', '0000000']
['20200226', '085501', '00004057', 'BBTN', '00000004900.00', '00000004900.00', '00000004900.00', '00000004900.00', '000000000000', '0000000000000000', '0000000']
